[Fri Mar 03 22:44:11.548210 2023] [mpm_itk:warn] [pid 92422] (13)Permission denied: [client 192.168.2.170:59286] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 22:44:11.550575 2023] [mpm_itk:warn] [pid 92425] (13)Permission denied: [client 192.168.2.170:59289] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 22:44:11.557226 2023] [mpm_itk:warn] [pid 92427] (13)Permission denied: [client 192.168.2.170:59291] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 22:44:11.558763 2023] [mpm_itk:warn] [pid 92429] (13)Permission denied: [client 192.168.2.170:59293] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 22:44:11.559742 2023] [mpm_itk:warn] [pid 92431] (13)Permission denied: [client 192.168.2.170:59294] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 22:44:11.560515 2023] [mpm_itk:warn] [pid 92424] (13)Permission denied: [client 192.168.2.170:59288] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 22:44:11.562831 2023] [mpm_itk:warn] [pid 92423] (13)Permission denied: [client 192.168.2.170:59287] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 22:44:11.563884 2023] [mpm_itk:warn] [pid 92435] (13)Permission denied: [client 192.168.2.170:59296] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 22:44:11.566032 2023] [mpm_itk:warn] [pid 92426] (13)Permission denied: [client 192.168.2.170:59290] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 22:44:11.567001 2023] [mpm_itk:warn] [pid 92440] (13)Permission denied: [client 192.168.2.170:59297] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 22:44:14.232788 2023] [mpm_itk:warn] [pid 92434] (13)Permission denied: [client 192.168.2.170:59295] Couldn't read /srv/users/praeuivg/dudzpez-m1/.htaccess, closing connection., referer: http://wsr.ru/
[Fri Mar 03 23:50:22.852786 2023] [mpm_itk:warn] [pid 69842] (13)Permission denied: [client 192.168.2.170:62891] Couldn't read /srv/users/praeuivg/dudzpez-m1/public/catalog, closing connection., referer: http://dudzpez-m1.wsr.ru/public/about
[Sat Mar 04 00:02:45.772208 2023] [mpm_itk:warn] [pid 99290] (13)Permission denied: [client 192.168.2.170:60386] Couldn't read /srv/users/praeuivg/dudzpez-m1/public/catalog, closing connection., referer: http://dudzpez-m1.wsr.ru/public/about
[Sat Mar 04 00:34:02.720564 2023] [mpm_itk:warn] [pid 51971] (13)Permission denied: [client 192.168.2.170:60186] Couldn't read /srv/users/praeuivg/dudzpez-m1/public/catalog, closing connection., referer: http://dudzpez-m1.wsr.ru/public/catalog/filter/1
[Sat Mar 04 00:34:02.723405 2023] [mpm_itk:warn] [pid 51972] (13)Permission denied: [client 192.168.2.170:60187] Couldn't read /srv/users/praeuivg/dudzpez-m1/public/catalog, closing connection., referer: http://dudzpez-m1.wsr.ru/public/catalog/filter/1
[Thu Mar 09 01:24:07.787190 2023] [php:error] [pid 7673] [client 192.168.2.41:21922] PHP Fatal error:  Cannot declare class App\\Http\\Controllers\\basketcontroller, because the name is already in use in /srv/users/praeuivg/dudzpez-m1/app/Http/Controllers/BaskettController.php on line 9, referer: http://dudzpez-m1.wsr.ru/public/
